Date,Open,High,Low,Close,Adj Close,Volume
2013-07-23,42.994999,43.000000,42.599998,42.654999,41.243675,6872600
2013-07-24,42.980000,43.000000,42.154999,42.334999,40.934273,12867400
2013-07-25,42.139999,42.599998,42.029999,42.500000,41.093811,12802000
2013-07-26,42.165001,42.639999,41.820000,42.590000,41.180824,10793800
2013-07-29,42.404999,42.595001,42.115002,42.345001,40.943932,9141000
2013-07-30,42.610001,42.695000,42.150002,42.355000,40.953606,12438200
2013-07-31,42.525002,42.974998,42.294998,42.360001,40.958443,12931000
2013-08-01,43.049999,43.459999,43.014999,43.380001,41.944687,8585200
2013-08-02,43.205002,43.535000,43.075001,43.535000,42.094566,7436000
2013-08-05,43.345001,43.535000,43.230000,43.415001,41.978539,5726400
2013-08-06,43.220001,43.310001,42.720001,42.950001,41.528915,10166200
2013-08-07,42.630001,42.744999,42.305000,42.654999,41.243675,10315200
2013-08-08,43.029999,43.119999,42.494999,42.889999,41.470913,8176200
2013-08-09,42.825001,43.075001,42.389999,42.665001,41.253349,9976800
2013-08-12,42.255001,42.680000,42.215000,42.575001,41.166332,7502200
2013-08-13,42.730000,42.970001,42.235001,42.845001,41.427399,7431200
2013-08-14,42.770000,42.919998,42.369999,42.424999,41.021282,11745600
2013-08-15,41.715000,41.715000,41.049999,41.165001,39.802975,15796600
2013-08-16,41.044998,41.325001,40.759998,40.945000,39.590271,11806400
2013-08-19,40.840000,41.110001,40.404999,40.415001,39.077801,9441400
2013-08-20,40.535000,41.095001,40.450001,40.785000,39.435551,9084800
2013-08-21,40.575001,41.014999,40.115002,40.285000,38.952091,15310000
2013-08-22,40.465000,41.130001,40.459999,41.005001,39.648273,7933200
2013-08-23,41.255001,41.389999,40.875000,41.275002,39.909348,7209000
2013-08-26,41.380001,41.634998,40.939999,40.994999,39.638603,9226800
2013-08-27,40.169998,40.485001,39.605000,39.650002,38.338100,23662800
2013-08-28,39.634998,40.215000,39.529999,39.919998,38.599174,12170400
2013-08-29,39.755001,40.485001,39.689999,40.055000,38.729702,11331800
2013-08-30,40.230000,40.230000,39.575001,39.785000,38.468643,12300600
2013-09-03,40.564999,40.740002,39.830002,40.139999,38.811893,13925600
2013-09-04,40.185001,40.959999,40.040001,40.825001,39.474236,8880600
2013-09-05,40.860001,41.139999,40.814999,40.875000,39.522579,7517800
2013-09-06,41.185001,41.424999,40.200001,40.935001,39.580597,16736800
2013-09-09,41.165001,41.799999,41.165001,41.764999,40.383133,9834400
2013-09-10,42.250000,42.384998,42.070000,42.365002,40.963280,10965400
2013-09-11,42.255001,42.634998,42.105000,42.615002,41.204998,12117000
2013-09-12,42.610001,42.715000,42.290001,42.435001,41.030952,9530800
2013-09-13,42.509998,42.660000,42.305000,42.575001,41.166332,7599000
2013-09-16,43.500000,43.549999,42.950001,43.099998,41.673954,10201800
2013-09-17,43.169998,43.485001,43.165001,43.474998,42.036545,5440400
2013-09-18,43.435001,44.720001,43.224998,44.474998,43.003468,13604400
2013-09-19,44.735001,44.770000,44.244999,44.340000,42.872921,10513200
2013-09-20,44.529999,44.535000,43.645000,43.669998,42.225094,11307000
2013-09-23,43.599998,43.665001,43.029999,43.320000,41.886673,14273200
2013-09-24,43.279999,43.605000,42.935001,43.090000,41.664288,11647000
2013-09-25,43.110001,43.250000,42.735001,42.840000,41.505287,15278600
2013-09-26,42.945000,43.375000,42.810001,43.110001,41.766869,8005400
2013-09-27,42.700001,42.845001,42.514999,42.750000,41.418079,13789600
2013-09-30,42.005001,42.540001,41.834999,42.320000,41.001484,16624200
2013-10-01,42.334999,43.014999,42.275002,42.950001,41.611858,11318400
2013-10-02,42.419998,42.869999,42.174999,42.810001,41.476215,14072800
2013-10-03,42.669998,42.730000,41.674999,42.099998,40.788326,20142000
2013-10-04,42.125000,42.785000,42.014999,42.680000,41.350258,12067400
2013-10-07,41.950001,42.474998,41.869999,41.974998,40.667225,11463800
2013-10-08,41.950001,42.049999,40.930000,40.994999,39.717770,23661000
2013-10-09,41.134998,41.334999,40.505001,41.000000,39.722607,21207000
2013-10-10,41.869999,42.834999,41.849998,42.770000,41.437450,17229800
2013-10-11,42.660000,43.384998,42.605000,43.345001,41.994553,12343400
2013-10-14,42.825001,43.770000,42.750000,43.709999,42.348171,17350600
2013-10-15,43.459999,43.805000,42.950001,43.080002,41.737804,15274800
2013-10-16,43.570000,44.305000,43.535000,44.259998,42.881039,10437600
2013-10-17,43.904999,44.900002,43.884998,44.855000,43.457497,9584800
2013-10-18,45.180000,45.520000,45.005001,45.450001,44.033962,9487400
2013-10-21,45.490002,45.645000,45.255001,45.455002,44.038807,8042600
2013-10-22,45.724998,46.259998,45.599998,45.965000,44.532913,13914800
2013-10-23,45.660000,45.715000,45.224998,45.560001,44.140541,12183400
